id,name,symbol
90,Bitcoin,BTC
80,Ethereum,ETH
58,XRP,XRP
518,Tether,USDT
2710,Binance Coin,BNB
48543,Solana,SOL
33285,USD Coin,USDC
46971,Staked Ether,STETH
2,Dogecoin,DOGE
147945,TON Station,SOON
2713,TRON,TRX
257,Cardano,ADA
65945,Wrapped stETH,WSTETH
148109,Hyperliquid,HYPE
96901,Wrapped Beacon ETH,WBETH
33422,Wrapped Bitcoin,WBTC
32610,WETH,WETH
2751,ChainLink,LINK
158405,Ethena USDe,USDe
89,Stellar,XLM
44883,Avalanche,AVAX
93845,Sui,SUI
2321,Bitcoin Cash,BCH
48555,Hedera Hashgraph,HBAR
1,Litecoin,LTC
45088,Shiba Inu,SHIB
54683,TON Coin,TON
121595,Mantle,MNT
45219,Polkadot,DOT
127063,Ethena Staked USDe,sUSDe
28,Monero,XMR
32417,Dai,DAI
47305,Uniswap,UNI
33531,OKB,OKB
46018,Aave,AAVE
93841,Pepe,PEPE
67117,Bitget Token,BGB
126763,Ethena,ENA
111341,Aptos,APT
48563,NEAR Protocol,NEAR
44863,Render Token,RNDR
121619,Bittensor,TAO
118,Ethereum Classic,ETC
150883,Story,IP
144321,Binance Staked SOL,BNSOL
121611,Ondo,ONDO
99329,Worldcoin,WLD
134,Zcash,ZEC
47311,Internet Computer (IOU),ICP
93847,Arbitrum,ARB
151099,Pi,PI
70485,Kaspa,KAS
2741,VeChain,VET
33830,Cosmos,ATOM
151101,Pudgy Penguins,PENGU
33819,Crypto.com Chain,CRO
34406,Algorand,ALGO
135601,Render,RENDER
84965,Flare,FLR
100427,Sei,SEI
164809,BFUSD,BFUSD
32607,Filecoin,FIL
148111,OFFICIAL TRUMP,TRUMP
82537,Bonk,BONK
46722,Wrapped BNB,WBNB
33718,Fetch.ai,FET
12377,Maker,MKR
136127,SPX6900,SPX
42855,Tether Gold,XAUT
121593,Immutable,IMX
2750,KuCoin Shares,KCS
111357,PayPal USD,PYUSD
70497,Optimism,OP
46183,Injective Protocol,INJ
33085,Quant,QNT
45985,PancakeSwap,CAKE
136105,Celestia,TIA
100423,First Digital USD,FDUSD
42227,PAX Gold,PAXG
48581,Curve DAO Token,CRV
48569,Stacks,STX
46981,Lido DAO,LDO
148191,Sonic (prev. FTM),S
122319,Aerodrome Finance,AERO
65895,Xeno Token,XNO
51947,Floki Inu,FLOKI
111347,Pyth Network,PYTH
141199,Kaia,KAIA
126771,ether.fi,ETHFI
32408,XinFin Network,XDCE
48561,The Graph,GRT
121623,Fasttoken,FTN
32604,Nexo,NEXO
33644,Fantom,FTM
48839,Pendle,PENDLE
33536,Matic Network,MATIC
56821,Ethereum Name Service,ENS
47371,Raydium,RAY
447,IOTA,MIOTA
121613,dogwifhat,WIF
